# Avida tasks data
# Fri Jun 15 12:58:46 2018
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: And

0 0 
100 0 
200 0 
300 0 
400 0 
500 0 
600 0 
700 0 
800 0 
900 0 
1000 0 
1100 0 
1200 0 
1300 0 
1400 0 
1500 0 
1600 0 
1700 0 
1800 0 
1900 0 
2000 0 
2100 0 
2200 0 
2300 0 
2400 0 
2500 0 
2600 0 
2700 0 
2800 0 
2900 0 
3000 0 
3100 0 
3200 0 
3300 0 
3400 0 
3500 0 
3600 0 
3700 0 
3800 0 
3900 0 
4000 0 
4100 0 
4200 0 
4300 0 
4400 0 
4500 0 
4600 0 
4700 0 
4800 0 
4900 0 
5000 0 
5100 0 
5200 0 
5300 0 
5400 0 
5500 0 
5600 0 
5700 0 
5800 0 
5900 0 
6000 0 
6100 0 
6200 0 
6300 0 
6400 0 
6500 0 
6600 0 
6700 0 
6800 0 
6900 0 
7000 0 
7100 0 
7200 0 
7300 0 
7400 0 
7500 0 
7600 0 
7700 0 
7800 7 
7900 32 
8000 505 
8100 2355 
8200 3405 
8300 3435 
8400 3448 
8500 3457 
8600 3440 
8700 3399 
8800 3442 
8900 3428 
9000 3404 
9100 3455 
9200 3451 
9300 3435 
9400 3434 
9500 3456 
9600 3449 
9700 3434 
9800 3443 
9900 3435 
10000 3427 
10100 3414 
10200 3445 
10300 3421 
10400 3410 
10500 3442 
10600 3432 
10700 3441 
10800 3418 
10900 3397 
11000 3395 
11100 3453 
11200 3405 
11300 3413 
11400 3395 
11500 3394 
11600 3408 
11700 3431 
11800 3412 
11900 3462 
12000 3396 
12100 3430 
12200 3384 
12300 3418 
12400 3418 
12500 3437 
12600 3407 
12700 3407 
12800 3437 
12900 3442 
13000 3422 
13100 3419 
13200 3440 
13300 3413 
13400 3406 
13500 3422 
13600 3420 
13700 3413 
13800 3405 
13900 3404 
14000 3431 
14100 3422 
14200 3424 
14300 3431 
14400 3403 
14500 3396 
14600 3407 
14700 3423 
14800 3409 
14900 3422 
15000 3441 
15100 3406 
15200 3400 
15300 3418 
15400 3400 
15500 3438 
15600 3426 
15700 3411 
15800 3384 
15900 3434 
16000 3404 
16100 3418 
16200 3431 
16300 3445 
16400 3441 
16500 3425 
16600 3451 
16700 3423 
16800 3429 
16900 3418 
17000 3438 
17100 3411 
17200 3405 
17300 3408 
17400 3401 
17500 3429 
17600 3444 
17700 3418 
17800 3430 
17900 3431 
18000 3423 
18100 3414 
18200 3441 
18300 3431 
18400 3435 
18500 3432 
18600 3459 
18700 3443 
18800 3405 
18900 3454 
19000 3432 
19100 3474 
19200 3424 
19300 3437 
19400 3423 
19500 3425 
19600 3440 
19700 3458 
19800 3463 
19900 3407 
20000 3428 
20100 3405 
20200 3413 
20300 3392 
20400 3416 
20500 3391 
20600 3437 
20700 3425 
20800 3420 
20900 3433 
21000 3448 
21100 3421 
21200 3451 
21300 3423 
21400 3429 
21500 3409 
21600 3428 
21700 3412 
21800 3426 
21900 3423 
22000 3438 
22100 3414 
22200 3420 
22300 3399 
22400 3423 
22500 3405 
22600 3440 
22700 3436 
22800 3436 
22900 3437 
23000 3438 
23100 3415 
23200 3432 
23300 3442 
23400 3414 
23500 3394 
23600 3411 
23700 3431 
23800 3442 
23900 3420 
24000 3437 
24100 3396 
24200 3441 
24300 3402 
24400 3452 
24500 3406 
24600 3442 
24700 3420 
24800 3417 
24900 3451 
25000 3418 
25100 3404 
25200 3413 
25300 3406 
25400 3432 
25500 3438 
25600 3421 
25700 3389 
25800 3426 
25900 3411 
26000 3430 
26100 3404 
26200 3424 
26300 3414 
26400 3411 
26500 3423 
26600 3422 
26700 3422 
26800 3420 
26900 3409 
27000 3411 
27100 3431 
27200 3407 
27300 3392 
27400 3418 
27500 3373 
27600 3403 
27700 3390 
27800 3426 
27900 3407 
28000 3406 
28100 3419 
28200 3425 
28300 3398 
28400 3429 
28500 3447 
28600 3395 
28700 3439 
28800 3419 
28900 3427 
29000 3429 
29100 3417 
29200 3454 
29300 3420 
29400 3449 
29500 3422 
29600 3415 
29700 3383 
29800 3415 
29900 3424 
30000 3394 
30100 3431 
30200 3419 
30300 3399 
30400 3427 
30500 3428 
30600 3397 
30700 3415 
30800 3440 
30900 3431 
31000 3441 
31100 3428 
31200 3434 
31300 3407 
31400 3391 
31500 3392 
31600 3399 
31700 3427 
31800 3427 
31900 3433 
32000 3411 
32100 3407 
32200 3417 
32300 3412 
32400 3438 
32500 3411 
32600 3421 
32700 3419 
32800 3409 
32900 3419 
33000 3401 
33100 3406 
33200 3440 
33300 3388 
33400 3452 
33500 3417 
33600 3425 
33700 3413 
33800 3449 
33900 3408 
34000 3430 
34100 3413 
34200 3421 
34300 3412 
34400 3406 
34500 3388 
34600 3384 
34700 3435 
34800 3406 
34900 3447 
35000 3421 
35100 3453 
35200 3422 
35300 3400 
35400 3430 
35500 3430 
35600 3432 
35700 3418 
35800 3408 
35900 3434 
36000 3400 
36100 3422 
36200 3436 
36300 3422 
36400 3395 
36500 3433 
36600 3432 
36700 3404 
36800 3412 
36900 3416 
37000 3406 
37100 3431 
37200 3399 
37300 3418 
37400 3400 
37500 3419 
37600 3415 
37700 3433 
37800 3428 
37900 3413 
38000 3414 
38100 3403 
38200 3401 
38300 3393 
38400 3422 
38500 3383 
38600 3427 
38700 3449 
38800 3403 
38900 3385 
39000 3380 
39100 3403 
39200 3394 
39300 3431 
39400 3422 
39500 3382 
39600 3411 
39700 3422 
39800 3422 
39900 3434 
40000 3369 
40100 3378 
40200 3409 
40300 3428 
40400 3412 
40500 3408 
40600 3418 
40700 3444 
40800 3423 
40900 3392 
41000 3413 
41100 3404 
41200 3419 
41300 3419 
41400 3423 
41500 3419 
41600 3410 
41700 3422 
41800 3394 
41900 3418 
42000 3427 
42100 3380 
42200 3377 
42300 3416 
42400 3423 
42500 3386 
42600 3383 
42700 3346 
42800 3384 
42900 3395 
43000 3396 
43100 3404 
43200 3402 
43300 3398 
43400 3374 
43500 3403 
43600 3390 
43700 3399 
43800 3353 
43900 3403 
44000 3402 
44100 3399 
44200 3406 
44300 3359 
44400 3363 
44500 3367 
44600 3394 
44700 3390 
44800 3396 
44900 3381 
45000 3375 
45100 3408 
45200 3385 
45300 3331 
45400 3419 
45500 3404 
45600 3385 
45700 3425 
45800 3374 
45900 3363 
46000 3404 
46100 3390 
46200 3387 
46300 3393 
46400 3369 
46500 3410 
46600 3384 
46700 3420 
46800 3395 
46900 3398 
47000 3402 
47100 3422 
47200 3427 
47300 3393 
47400 3405 
47500 3406 
47600 3423 
47700 3404 
47800 3366 
47900 3399 
48000 3403 
48100 3384 
48200 3365 
48300 3405 
48400 3420 
48500 3385 
48600 3418 
48700 3396 
48800 3396 
48900 3395 
49000 3435 
49100 3376 
49200 3402 
49300 3392 
49400 3404 
49500 3429 
49600 3405 
49700 3388 
49800 3381 
49900 3399 
50000 3409 
