# Avida tasks data
# Fri Jun 15 12:01:44 2018
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: AndNot

0 0 
100 0 
200 0 
300 0 
400 0 
500 0 
600 0 
700 0 
800 0 
900 0 
1000 0 
1100 0 
1200 0 
1300 0 
1400 0 
1500 0 
1600 0 
1700 0 
1800 0 
1900 0 
2000 0 
2100 0 
2200 0 
2300 0 
2400 0 
2500 0 
2600 0 
2700 0 
2800 0 
2900 0 
3000 0 
3100 0 
3200 0 
3300 0 
3400 0 
3500 0 
3600 0 
3700 0 
3800 0 
3900 0 
4000 0 
4100 0 
4200 0 
4300 0 
4400 0 
4500 0 
4600 0 
4700 0 
4800 0 
4900 0 
5000 0 
5100 0 
5200 0 
5300 0 
5400 0 
5500 3365 
5600 3457 
5700 3454 
5800 3444 
5900 3447 
6000 3474 
6100 3454 
6200 3447 
6300 3445 
6400 3459 
6500 3438 
6600 3465 
6700 3473 
6800 3433 
6900 3447 
7000 3466 
7100 3467 
7200 3483 
7300 3474 
7400 3426 
7500 3453 
7600 3453 
7700 3475 
7800 3462 
7900 3464 
8000 3463 
8100 3475 
8200 3462 
8300 3487 
8400 3459 
8500 3473 
8600 3454 
8700 3502 
8800 3478 
8900 3445 
9000 3483 
9100 3476 
9200 3471 
9300 3482 
9400 3480 
9500 3488 
9600 3469 
9700 3463 
9800 3447 
9900 3438 
10000 3479 
