# Avida tasks data
# Fri Jun 15 12:01:46 2018
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: AndNot

0 0 
100 0 
200 0 
300 0 
400 0 
500 0 
600 0 
700 0 
800 0 
900 0 
1000 0 
1100 0 
1200 0 
1300 0 
1400 0 
1500 0 
1600 0 
1700 0 
1800 0 
1900 0 
2000 0 
2100 0 
2200 0 
2300 0 
2400 0 
2500 0 
2600 0 
2700 0 
2800 0 
2900 0 
3000 0 
3100 0 
3200 0 
3300 0 
3400 0 
3500 0 
3600 0 
3700 0 
3800 0 
3900 0 
4000 0 
4100 0 
4200 0 
4300 0 
4400 0 
4500 0 
4600 0 
4700 0 
4800 0 
4900 0 
5000 0 
5100 0 
5200 0 
5300 0 
5400 6 
5500 1095 
5600 1211 
5700 1170 
5800 1232 
5900 1175 
6000 1195 
6100 1212 
6200 1208 
6300 1151 
6400 1168 
6500 1109 
6600 1200 
6700 1201 
6800 1219 
6900 1169 
7000 1170 
7100 1213 
7200 1155 
7300 1196 
7400 1206 
7500 1176 
7600 1145 
7700 1245 
7800 1249 
7900 1208 
8000 1174 
8100 1175 
8200 1151 
8300 1173 
8400 1151 
8500 1096 
8600 1131 
8700 1128 
8800 1111 
8900 1177 
9000 1111 
9100 1162 
9200 1161 
9300 1172 
9400 1153 
9500 1095 
9600 1163 
9700 1221 
9800 1178 
9900 1185 
10000 1210 
