# Avida tasks data
# Fri Jun 15 12:58:46 2018
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Nand

0 0 
100 0 
200 0 
300 0 
400 0 
500 0 
600 0 
700 0 
800 0 
900 0 
1000 0 
1100 0 
1200 0 
1300 0 
1400 0 
1500 0 
1600 0 
1700 0 
1800 0 
1900 0 
2000 0 
2100 0 
2200 0 
2300 0 
2400 0 
2500 8 
2600 2111 
2700 3338 
2800 3401 
2900 3388 
3000 3411 
3100 3414 
3200 3447 
3300 3442 
3400 3443 
3500 3409 
3600 3434 
3700 3464 
3800 3420 
3900 3428 
4000 3440 
4100 3422 
4200 3459 
4300 3395 
4400 3425 
4500 3434 
4600 3445 
4700 3456 
4800 3455 
4900 3444 
5000 3457 
5100 3439 
5200 3444 
5300 3442 
5400 3455 
5500 3414 
5600 3416 
5700 3439 
5800 3409 
5900 3420 
6000 3414 
6100 3406 
6200 3435 
6300 3423 
6400 3409 
6500 3447 
6600 3426 
6700 3419 
6800 3415 
6900 3426 
7000 3427 
7100 3432 
7200 3446 
7300 3396 
7400 3449 
7500 3411 
7600 3435 
7700 3447 
7800 3448 
7900 3429 
8000 3458 
8100 3434 
8200 3462 
8300 3484 
8400 3488 
8500 3472 
8600 3473 
8700 3481 
8800 3488 
8900 3444 
9000 3461 
9100 3471 
9200 3483 
9300 3513 
9400 3473 
9500 3484 
9600 3497 
9700 3470 
9800 3473 
9900 3474 
10000 3469 
10100 3447 
10200 3461 
10300 3497 
10400 3493 
10500 3488 
10600 3473 
10700 3464 
10800 3487 
10900 3489 
11000 3486 
11100 3467 
11200 3467 
11300 3478 
11400 3471 
11500 3488 
11600 3488 
11700 3486 
11800 3493 
11900 3459 
12000 3500 
12100 3472 
12200 3517 
12300 3491 
12400 3489 
12500 3516 
12600 3508 
12700 3496 
12800 3483 
12900 3479 
13000 3503 
13100 3494 
13200 3483 
13300 3484 
13400 3498 
13500 3478 
13600 3491 
13700 3476 
13800 3494 
13900 3486 
14000 3528 
14100 3497 
14200 3485 
14300 3496 
14400 3491 
14500 3478 
14600 3490 
14700 3490 
14800 3495 
14900 3514 
15000 3506 
15100 3508 
15200 3481 
15300 3485 
15400 3500 
15500 3468 
15600 3487 
15700 3496 
15800 3487 
15900 3498 
16000 3456 
16100 3499 
16200 3483 
16300 3495 
16400 3485 
16500 3510 
16600 3492 
16700 3476 
16800 3486 
16900 3495 
17000 3488 
17100 3479 
17200 3494 
17300 3500 
17400 3483 
17500 3509 
17600 3482 
17700 3517 
17800 3472 
17900 3522 
18000 3521 
18100 3503 
18200 3505 
18300 3518 
18400 3498 
18500 3499 
18600 3518 
18700 3476 
18800 3497 
18900 3505 
19000 3505 
19100 3522 
19200 3513 
19300 3503 
19400 3481 
19500 3504 
19600 3505 
19700 3487 
19800 3455 
19900 3509 
20000 3496 
20100 3512 
20200 3489 
20300 3489 
20400 3512 
20500 3496 
20600 3467 
20700 3523 
20800 3483 
20900 3521 
21000 3515 
21100 3501 
21200 3491 
21300 3498 
21400 3512 
21500 3470 
21600 3533 
21700 3513 
21800 3511 
21900 3506 
22000 3507 
22100 3487 
22200 3485 
22300 3496 
22400 3506 
22500 3524 
22600 3479 
22700 3506 
22800 3475 
22900 3478 
23000 3502 
23100 3471 
23200 3506 
23300 3478 
23400 3510 
23500 3490 
23600 3497 
23700 3500 
23800 3475 
23900 3476 
24000 3489 
24100 3474 
24200 3492 
24300 3496 
24400 3478 
24500 3517 
24600 3507 
24700 3496 
24800 3487 
24900 3485 
25000 3455 
25100 3509 
25200 3498 
25300 3484 
25400 3476 
25500 3495 
25600 3495 
25700 3507 
25800 3493 
25900 3501 
26000 3490 
26100 3522 
26200 3499 
26300 3477 
26400 3488 
26500 3496 
26600 3509 
26700 3502 
26800 3519 
26900 3519 
27000 3483 
27100 3493 
27200 3485 
27300 3476 
27400 3492 
27500 3500 
27600 3520 
27700 3520 
27800 3498 
27900 3504 
28000 3480 
28100 3508 
28200 3478 
28300 3490 
28400 3480 
28500 3517 
28600 3511 
28700 3485 
28800 3503 
28900 3518 
29000 3508 
29100 3495 
29200 3464 
29300 3488 
29400 3497 
29500 3497 
29600 3456 
29700 3498 
29800 3472 
29900 3495 
30000 3483 
30100 3480 
30200 3505 
30300 3467 
30400 3484 
30500 3500 
30600 3503 
30700 3500 
30800 3467 
30900 3498 
31000 3494 
31100 3499 
31200 3486 
31300 3462 
31400 3476 
31500 3483 
31600 3491 
31700 3495 
31800 3477 
31900 3467 
32000 3484 
32100 3491 
32200 3495 
32300 3454 
32400 3481 
32500 3494 
32600 3493 
32700 3474 
32800 3483 
32900 3501 
33000 3503 
33100 3518 
33200 3505 
33300 3499 
33400 3506 
33500 3492 
33600 3485 
33700 3473 
33800 3489 
33900 3486 
34000 3482 
34100 3495 
34200 3471 
34300 3496 
34400 3496 
34500 3500 
34600 3462 
34700 3484 
34800 3468 
34900 3465 
35000 3478 
35100 3476 
35200 3457 
35300 3477 
35400 3465 
35500 3487 
35600 3491 
35700 3461 
35800 3462 
35900 3482 
36000 3466 
36100 3491 
36200 3503 
36300 3477 
36400 3503 
36500 3471 
36600 3471 
36700 3504 
36800 3474 
36900 3506 
37000 3486 
37100 3491 
37200 3470 
37300 3473 
37400 3478 
37500 3493 
37600 3486 
37700 3501 
37800 3468 
37900 3484 
38000 3483 
38100 3498 
38200 3488 
38300 3484 
38400 3482 
38500 3498 
38600 3522 
38700 3490 
38800 3497 
38900 3479 
39000 3500 
39100 3524 
39200 3490 
39300 3495 
39400 3462 
39500 3493 
39600 3488 
39700 3501 
39800 3466 
39900 3474 
40000 3496 
40100 3483 
40200 3484 
40300 3516 
40400 3506 
40500 3498 
40600 3509 
40700 3493 
40800 3483 
40900 3499 
41000 3468 
41100 3508 
41200 3513 
41300 3480 
41400 3518 
41500 3481 
41600 3493 
41700 3477 
41800 3465 
41900 3496 
42000 3517 
42100 3487 
42200 3476 
42300 3466 
42400 3508 
42500 3497 
42600 3479 
42700 3489 
42800 3487 
42900 3522 
43000 3512 
43100 3501 
43200 3513 
43300 3477 
43400 3523 
43500 3507 
43600 3479 
43700 3483 
43800 3508 
43900 3469 
44000 3521 
44100 3493 
44200 3478 
44300 3503 
44400 3499 
44500 3516 
44600 3497 
44700 3497 
44800 3480 
44900 3469 
45000 3463 
45100 3494 
45200 3480 
45300 3507 
45400 3488 
45500 3490 
45600 3484 
45700 3483 
45800 3494 
45900 3482 
46000 3483 
46100 3497 
46200 3515 
46300 3492 
46400 3489 
46500 3488 
46600 3511 
46700 3488 
46800 3517 
46900 3494 
47000 3495 
47100 3502 
47200 3491 
47300 3512 
47400 3500 
47500 3486 
47600 3494 
47700 3488 
47800 3485 
47900 3484 
48000 3500 
48100 3503 
48200 3472 
48300 3484 
48400 3489 
48500 3519 
48600 3511 
48700 3489 
48800 3506 
48900 3483 
49000 3502 
49100 3500 
49200 3488 
49300 3508 
49400 3488 
49500 3481 
49600 3474 
49700 3484 
49800 3482 
49900 3491 
50000 3515 
