# Avida tasks data
# Wed Jul  4 10:48:47 2018
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Not

0 0 
100 0 
200 0 
300 0 
400 0 
500 0 
600 0 
700 0 
800 0 
900 0 
1000 0 
1100 2 
1200 4 
1300 25 
1400 57 
1500 97 
1600 169 
1700 300 
1800 451 
1900 710 
2000 1045 
2100 1375 
2200 1672 
2300 1883 
2400 2009 
2500 2216 
2600 2411 
2700 2557 
2800 2523 
2900 2604 
3000 2639 
3100 2798 
3200 2713 
3300 2752 
3400 2812 
3500 2726 
3600 2789 
3700 2913 
3800 2838 
3900 2814 
4000 2835 
4100 2839 
4200 2874 
4300 2828 
4400 2881 
4500 2862 
4600 2845 
4700 2865 
4800 2858 
4900 2891 
5000 2843 
5100 2898 
5200 2886 
5300 2933 
5400 2889 
5500 2906 
5600 2926 
5700 2949 
5800 2926 
5900 3006 
6000 2911 
6100 2979 
6200 2901 
6300 2942 
6400 2994 
6500 3014 
6600 2973 
6700 3044 
6800 3001 
6900 3038 
7000 2986 
7100 3019 
7200 3015 
7300 3052 
7400 3066 
7500 3023 
7600 3051 
7700 3076 
7800 3101 
7900 3027 
8000 3043 
8100 3068 
8200 3104 
8300 3138 
8400 3108 
8500 3084 
8600 3107 
8700 3048 
8800 3096 
8900 3045 
9000 3072 
9100 3062 
9200 3082 
9300 3072 
9400 3076 
9500 3120 
9600 3087 
9700 3113 
9800 3090 
9900 3116 
10000 3102 
10100 3060 
10200 3103 
10300 3087 
10400 3114 
10500 3123 
10600 3065 
10700 3090 
10800 3134 
10900 3113 
11000 3104 
11100 3144 
11200 3105 
11300 3116 
11400 3102 
11500 3110 
11600 3116 
11700 3139 
11800 3126 
11900 3206 
12000 3164 
12100 3140 
12200 3136 
12300 3146 
12400 3128 
12500 3133 
12600 3163 
12700 3228 
12800 3205 
12900 3157 
13000 3136 
13100 3215 
13200 3211 
13300 3198 
13400 3206 
13500 3176 
13600 3134 
13700 3172 
13800 3146 
13900 3175 
14000 3232 
14100 3191 
14200 3182 
14300 3220 
14400 3207 
14500 3158 
14600 3199 
14700 3167 
14800 3110 
14900 3189 
15000 3193 
15100 3170 
15200 3158 
15300 3245 
15400 3165 
15500 3195 
15600 3222 
15700 3134 
15800 3177 
15900 3147 
16000 3256 
16100 3202 
16200 3163 
16300 3145 
16400 3168 
16500 3170 
16600 3160 
16700 3146 
16800 3168 
16900 3102 
17000 3123 
17100 3130 
17200 3084 
17300 3111 
17400 3134 
17500 3111 
17600 3089 
17700 3115 
17800 3177 
17900 3074 
18000 3151 
18100 3095 
18200 3117 
18300 3086 
18400 3116 
18500 3169 
18600 3150 
18700 3155 
18800 3146 
18900 3110 
19000 3132 
19100 3113 
19200 3079 
19300 3130 
19400 3083 
19500 3178 
19600 3180 
19700 3143 
19800 3155 
19900 3114 
20000 3089 
20100 3089 
20200 3108 
20300 3119 
20400 3085 
20500 3104 
20600 3112 
20700 3122 
20800 3127 
20900 3136 
21000 3208 
21100 3220 
21200 3172 
21300 3167 
21400 3181 
21500 3173 
21600 3184 
21700 3192 
21800 3175 
21900 3202 
22000 3165 
22100 3215 
22200 3131 
22300 3175 
22400 3159 
22500 3167 
22600 3239 
22700 3231 
22800 3221 
22900 3229 
23000 3211 
23100 3223 
23200 3211 
23300 3216 
23400 3193 
23500 3219 
23600 3256 
23700 3257 
23800 3256 
23900 3254 
24000 3202 
24100 3204 
24200 3228 
24300 3272 
24400 3221 
24500 3246 
24600 3240 
24700 3285 
24800 3264 
24900 3313 
25000 3246 
25100 3263 
25200 3241 
25300 3228 
25400 3255 
25500 3262 
25600 3268 
25700 3264 
25800 3333 
25900 3252 
26000 3261 
26100 3287 
26200 3276 
26300 3241 
26400 3285 
26500 3283 
26600 3235 
26700 3287 
26800 3253 
26900 3312 
27000 3294 
27100 3278 
27200 3286 
27300 3266 
27400 3241 
27500 3299 
27600 3340 
27700 3275 
27800 3216 
27900 3298 
28000 3260 
28100 3252 
28200 3321 
28300 3250 
28400 3246 
28500 3301 
28600 3270 
28700 3244 
28800 3234 
28900 3311 
29000 3305 
29100 3286 
29200 3262 
29300 3328 
29400 3299 
29500 3274 
29600 3322 
29700 3250 
29800 3294 
29900 3266 
30000 3278 
30100 3274 
30200 3297 
30300 3316 
30400 3250 
30500 3263 
30600 3280 
30700 3264 
30800 3310 
30900 3342 
31000 3318 
31100 3275 
31200 3283 
31300 3294 
31400 3218 
31500 3253 
31600 3254 
31700 3243 
31800 3254 
31900 3253 
32000 3241 
32100 3275 
32200 3262 
32300 3251 
32400 3254 
32500 3273 
32600 3233 
32700 3295 
32800 3356 
32900 3308 
33000 3237 
33100 3274 
33200 3308 
33300 3291 
33400 3219 
33500 3337 
33600 3317 
33700 3331 
33800 3306 
33900 3246 
34000 3283 
34100 3283 
34200 3291 
34300 3262 
34400 3283 
34500 3274 
34600 3306 
34700 3327 
34800 3289 
34900 3271 
35000 3278 
35100 3340 
35200 3274 
35300 3254 
35400 3290 
35500 3237 
35600 3284 
35700 3290 
35800 3281 
35900 3231 
36000 3274 
36100 3293 
36200 3301 
36300 3275 
36400 3275 
36500 3262 
36600 3228 
36700 3286 
36800 3261 
36900 3282 
37000 3277 
37100 3265 
37200 3262 
37300 3304 
37400 3268 
37500 3313 
37600 3282 
37700 3282 
37800 3223 
37900 3282 
38000 3284 
38100 3292 
38200 3222 
38300 3261 
38400 3235 
38500 3247 
38600 3192 
38700 3236 
38800 3270 
38900 3251 
39000 3249 
39100 3269 
39200 3239 
39300 3189 
39400 3238 
39500 3187 
39600 3236 
39700 3295 
39800 3206 
39900 3269 
40000 3243 
40100 3251 
40200 3291 
40300 3310 
40400 3261 
40500 3245 
40600 3241 
40700 3213 
40800 3208 
40900 3224 
41000 3262 
41100 3231 
41200 3201 
41300 3237 
41400 3301 
41500 3225 
41600 3249 
41700 3255 
41800 3231 
41900 3241 
42000 3239 
42100 3258 
42200 3289 
42300 3274 
42400 3227 
42500 3265 
42600 3214 
42700 3234 
42800 3236 
42900 3219 
43000 3239 
43100 3288 
43200 3267 
43300 3290 
43400 3301 
43500 3280 
43600 3268 
43700 3318 
43800 3258 
43900 3305 
44000 3252 
44100 3264 
44200 3271 
44300 3291 
44400 3248 
44500 3235 
44600 3213 
44700 3235 
44800 3212 
44900 3286 
45000 3307 
45100 3292 
45200 3251 
45300 3277 
45400 3274 
45500 3298 
45600 3306 
45700 3235 
45800 3204 
45900 3207 
46000 3236 
46100 3274 
46200 3296 
46300 3276 
46400 3249 
46500 3284 
46600 3281 
46700 3281 
46800 3290 
46900 3268 
47000 3262 
47100 3293 
47200 3276 
47300 3249 
47400 3255 
47500 3238 
47600 3299 
47700 3299 
47800 3240 
47900 3291 
48000 3265 
48100 3246 
48200 3301 
48300 3234 
48400 3253 
48500 3329 
48600 3326 
48700 3278 
48800 3264 
48900 3228 
49000 3290 
49100 3261 
49200 3309 
49300 3291 
49400 3282 
49500 3291 
49600 3303 
49700 3234 
49800 3266 
49900 3230 
50000 3242 
50100 3260 
50200 3183 
50300 3282 
50400 3281 
50500 3229 
50600 3295 
50700 3265 
50800 3295 
50900 3214 
51000 3230 
51100 3226 
51200 3262 
51300 3245 
51400 3275 
51500 3278 
51600 3280 
51700 3220 
51800 3254 
51900 3284 
52000 3309 
52100 3276 
52200 3247 
52300 3315 
52400 3243 
52500 3280 
52600 3208 
52700 3251 
52800 3276 
52900 3278 
53000 3225 
53100 3265 
53200 3254 
53300 3270 
53400 3221 
53500 3267 
53600 3242 
53700 3286 
53800 3240 
53900 3292 
54000 3200 
54100 3227 
54200 3208 
54300 3215 
54400 3199 
54500 3265 
54600 3228 
54700 3273 
54800 3251 
54900 3220 
55000 3293 
55100 3269 
55200 3264 
55300 3252 
55400 3257 
55500 3237 
55600 3263 
55700 3261 
55800 3251 
55900 3272 
56000 3230 
56100 3227 
56200 3265 
56300 3295 
56400 3238 
56500 3254 
56600 3263 
56700 3269 
56800 3320 
56900 3279 
57000 3306 
57100 3296 
57200 3212 
57300 3262 
57400 3293 
57500 3262 
57600 3278 
57700 3262 
57800 3274 
57900 3233 
58000 3273 
58100 3244 
58200 3246 
58300 3287 
58400 3281 
58500 3284 
58600 3263 
58700 3303 
58800 3263 
58900 3301 
59000 3251 
59100 3305 
59200 3280 
59300 3260 
59400 3311 
59500 3283 
59600 3280 
59700 3283 
59800 3245 
59900 3292 
60000 3320 
60100 3287 
60200 3313 
60300 3270 
60400 3278 
60500 3297 
60600 3311 
60700 3284 
60800 3299 
60900 3268 
61000 3250 
61100 3245 
61200 3289 
61300 3319 
61400 3254 
61500 3286 
61600 3308 
61700 3278 
61800 3282 
61900 3305 
62000 3306 
62100 3276 
62200 3317 
62300 3300 
62400 3301 
62500 3255 
62600 3243 
62700 3262 
62800 3324 
62900 3307 
63000 3260 
63100 3284 
63200 3273 
63300 3237 
63400 3291 
63500 3291 
63600 3283 
63700 3323 
63800 3298 
63900 3318 
64000 3295 
64100 3303 
64200 3302 
64300 3297 
64400 3301 
64500 3334 
64600 3325 
64700 3250 
64800 3325 
64900 3346 
65000 3327 
65100 3322 
65200 3329 
65300 3291 
65400 3258 
65500 3308 
65600 3386 
65700 3326 
65800 3252 
65900 3315 
66000 3293 
66100 3282 
66200 3294 
66300 3286 
66400 3313 
66500 3274 
66600 3297 
66700 3278 
66800 3329 
66900 3309 
67000 3365 
67100 3349 
67200 3352 
67300 3318 
67400 3289 
67500 3294 
67600 3306 
67700 3264 
67800 3283 
67900 3261 
68000 3286 
68100 3309 
68200 3306 
68300 3343 
68400 3297 
68500 3303 
68600 3334 
68700 3286 
68800 3291 
68900 3281 
69000 3284 
69100 3364 
69200 3354 
69300 3298 
69400 3311 
69500 3270 
69600 3298 
69700 3323 
69800 3275 
69900 3307 
70000 3266 
70100 3312 
70200 3372 
70300 3291 
70400 3351 
70500 3280 
70600 3331 
70700 3303 
70800 3330 
70900 3319 
71000 3353 
71100 3290 
71200 3324 
71300 3281 
71400 3291 
71500 3312 
71600 3300 
71700 3282 
71800 3272 
71900 3269 
72000 3287 
72100 3233 
72200 3295 
72300 3286 
72400 3277 
72500 3280 
72600 3322 
72700 3328 
72800 3329 
72900 3310 
73000 3298 
73100 3332 
73200 3279 
73300 3330 
73400 3271 
73500 3306 
73600 3279 
73700 3277 
73800 3289 
73900 3284 
74000 3264 
74100 3314 
74200 3263 
74300 3310 
74400 3317 
74500 3282 
74600 3281 
74700 3282 
74800 3287 
74900 3321 
75000 3293 
75100 3318 
75200 3333 
75300 3261 
75400 3263 
75500 3311 
75600 3270 
75700 3340 
75800 3272 
75900 3270 
76000 3283 
76100 3346 
76200 3332 
76300 3318 
76400 3298 
76500 3312 
76600 3292 
76700 3300 
76800 3338 
76900 3313 
77000 3281 
77100 3304 
77200 3285 
77300 3289 
77400 3309 
77500 3287 
77600 3286 
77700 3310 
77800 3298 
77900 3326 
78000 3348 
78100 3300 
78200 3320 
78300 3349 
78400 3311 
78500 3333 
78600 3282 
78700 3276 
78800 3238 
78900 3351 
79000 3312 
79100 3381 
79200 3300 
79300 3306 
79400 3274 
79500 3315 
79600 3305 
79700 3279 
79800 3318 
79900 3319 
80000 3329 
80100 3358 
80200 3295 
80300 3306 
80400 3318 
80500 3306 
80600 3313 
80700 3285 
80800 3288 
80900 3299 
81000 3309 
81100 3262 
81200 3315 
81300 3286 
81400 3328 
81500 3285 
81600 3323 
81700 3298 
81800 3279 
81900 3298 
