# Avida tasks data
# Fri Jun 15 12:01:14 2018
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: OrNot

0 0 
100 0 
200 0 
300 0 
400 0 
500 0 
600 0 
700 0 
800 0 
900 0 
1000 0 
1100 0 
1200 0 
1300 0 
1400 0 
1500 0 
1600 0 
1700 0 
1800 0 
1900 0 
2000 0 
2100 0 
2200 0 
2300 0 
2400 0 
2500 0 
2600 0 
2700 0 
2800 0 
2900 0 
3000 4 
3100 1151 
3200 2456 
3300 2500 
3400 2529 
3500 2533 
3600 2570 
3700 2543 
3800 2592 
3900 2534 
4000 2620 
4100 2824 
4200 3180 
4300 3366 
4400 3437 
4500 3469 
4600 3460 
4700 3482 
4800 3477 
4900 3493 
5000 3496 
5100 3470 
5200 3482 
5300 3483 
5400 3480 
5500 3461 
5600 3467 
5700 3467 
5800 3479 
5900 3469 
6000 3476 
6100 3486 
6200 3486 
6300 3485 
6400 3488 
6500 3502 
6600 3459 
6700 3499 
6800 3476 
6900 3491 
7000 3478 
7100 3475 
7200 3462 
7300 3468 
7400 3490 
7500 3481 
7600 3478 
7700 3501 
7800 3489 
7900 3465 
8000 3453 
8100 3480 
8200 3483 
8300 3476 
8400 3479 
8500 3471 
8600 3478 
8700 3488 
8800 3479 
8900 3484 
9000 3468 
9100 3471 
9200 3464 
9300 3475 
9400 3497 
9500 3465 
9600 3483 
9700 3478 
9800 3473 
9900 3488 
10000 3474 
