# Avida tasks data
# Tue Jun  5 10:54:34 2018
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Not

0 224 
100 1352 
200 1014 
300 870 
400 786 
500 767 
600 685 
700 773 
800 695 
900 596 
1000 669 
1100 678 
1200 782 
1300 727 
1400 787 
1500 830 
1600 902 
1700 1036 
1800 1211 
1900 1193 
2000 1204 
2100 1361 
2200 1431 
2300 1438 
2400 1473 
2500 1428 
2600 1482 
2700 1548 
2800 1578 
2900 1576 
3000 1635 
3100 1686 
3200 1745 
3300 1535 
3400 1510 
3500 1592 
3600 1573 
3700 1629 
3800 1591 
3900 1597 
4000 1595 
4100 1585 
4200 1547 
4300 1736 
4400 1640 
4500 1730 
4600 1642 
4700 1714 
4800 1945 
4900 1969 
5000 2004 
5100 1847 
5200 1913 
5300 1959 
5400 1939 
5500 1906 
5600 1796 
5700 1691 
5800 1521 
5900 1539 
6000 1667 
6100 1783 
6200 1804 
6300 2007 
6400 2018 
6500 1832 
6600 1730 
6700 1781 
6800 1976 
6900 1798 
7000 1796 
7100 1783 
7200 1706 
7300 1823 
7400 1689 
7500 1709 
7600 1740 
7700 1877 
7800 1956 
7900 1729 
8000 1692 
8100 1752 
8200 1938 
8300 1966 
8400 1758 
8500 1704 
8600 1647 
8700 1885 
8800 1830 
8900 1587 
9000 1512 
9100 1521 
9200 1468 
9300 1578 
9400 1581 
9500 1574 
9600 1716 
9700 1578 
9800 1665 
9900 1789 
10000 1820 
10100 1787 
10200 1788 
10300 1708 
10400 1846 
10500 1813 
10600 1660 
10700 1733 
10800 1740 
10900 1754 
11000 1717 
11100 1568 
11200 1599 
11300 1438 
11400 1501 
11500 1395 
11600 1344 
11700 1316 
11800 1271 
11900 1522 
12000 1458 
12100 1471 
12200 1415 
12300 1218 
12400 1340 
12500 1481 
12600 1551 
12700 1559 
12800 1532 
12900 1590 
13000 1666 
13100 1747 
13200 1674 
13300 1815 
13400 1741 
13500 1542 
13600 1470 
13700 1433 
13800 1578 
13900 1683 
14000 1750 
14100 1752 
14200 1795 
14300 1748 
14400 1609 
14500 1674 
14600 1879 
14700 1756 
14800 1742 
14900 1842 
15000 1836 
15100 1937 
15200 2010 
15300 1967 
15400 1882 
15500 1824 
15600 1740 
15700 1634 
15800 1441 
15900 1352 
16000 1423 
16100 1489 
16200 1586 
16300 1570 
16400 1645 
16500 1700 
16600 1678 
16700 1799 
16800 2047 
16900 1872 
17000 1819 
17100 1737 
17200 1829 
17300 1659 
17400 1684 
17500 1749 
17600 1708 
17700 1616 
17800 1707 
17900 1905 
18000 1800 
18100 1898 
18200 1831 
18300 1872 
18400 1991 
18500 1804 
18600 1776 
18700 1731 
18800 1838 
18900 1774 
19000 1692 
19100 1694 
19200 1754 
19300 1739 
19400 1807 
19500 1725 
19600 1868 
19700 1829 
19800 2040 
19900 1964 
20000 1916 
20100 1632 
20200 1680 
20300 1579 
20400 1602 
20500 1651 
20600 1645 
20700 1704 
20800 1769 
20900 1673 
21000 1804 
21100 1818 
21200 1919 
21300 2042 
21400 1779 
21500 1821 
21600 1709 
21700 1737 
21800 1778 
21900 1791 
22000 1998 
22100 2089 
22200 1998 
22300 2036 
22400 2039 
22500 2001 
22600 1825 
22700 2017 
22800 1828 
22900 1819 
23000 1703 
23100 1829 
23200 1799 
23300 1563 
23400 1554 
23500 1644 
23600 1682 
23700 1548 
23800 1697 
23900 1726 
24000 1871 
24100 1968 
24200 2026 
24300 2066 
24400 2027 
24500 1964 
24600 1953 
24700 2144 
24800 2342 
24900 2347 
25000 2283 
25100 2282 
25200 2320 
25300 2130 
25400 2201 
25500 2201 
25600 2018 
25700 2012 
