# Avida resource data
# Tue Jun  5 10:54:40 2018
# First column gives the current update, all further columns give the quantity
# of the particular resource at that update.
#  1: Update
#  2: resNOT

0 0.00899996 
100 0.0849964 
200 0.00999995 
300 0.00799997 
400 0.0609982 
500 0.117993 
600 0.00799997 
700 0.0319995 
800 0.0679977 
900 0.0109999 
1000 0.0229997 
1100 0.0339994 
1200 0.0879962 
1300 0.264965 
1400 0.0149999 
1500 0.112994 
1600 0.0149999 
1700 0.0259997 
1800 0.0709975 
1900 0.0749972 
2000 0.0299996 
2100 0.0189998 
2200 0.0389993 
2300 0.0969953 
2400 0.0659978 
2500 0.209978 
2600 0.0499988 
2700 0.150989 
2800 0.001 
2900 0.00499999 
3000 0.0769971 
3100 0.135991 
3200 0.0879962 
3300 0.089996 
3400 0.0299996 
3500 0.00799997 
3600 0.103995 
3700 0.0179998 
3800 0.0239997 
3900 0.0249997 
4000 0.149989 
4100 0.0139999 
4200 0.0679977 
4300 0.099995 
4400 0.0249997 
4500 0.0289996 
4600 0.002 
4700 0.00799997 
4800 0.0559985 
4900 0.00899996 
5000 0.155988 
5100 0.002 
5200 0.0569984 
5300 0.14199 
5400 0.0729974 
5500 0.0269996 
5600 0.0109999 
5700 0.0369993 
5800 0.0479989 
5900 0.0569984 
6000 0.152988 
6100 0.104995 
6200 0.0489988 
6300 0.0869962 
6400 0.0619981 
6500 0.0419991 
6600 0.0879962 
6700 0.0239997 
6800 0.14299 
6900 0.0519987 
7000 0.0199998 
7100 0.003 
7200 0.192981 
7300 0.0869962 
7400 0.00999995 
7500 0.0719974 
7600 0.0679977 
7700 0.0259997 
7800 0.00699998 
7900 0.103995 
8000 0.001 
8100 0.118993 
8200 0.062998 
8300 0.0769971 
8400 0.0329995 
8500 0.0179998 
8600 0.0599982 
8700 0.00799997 
8800 0.00599998 
8900 0.0189998 
9000 0.043999 
9100 0.111994 
9200 0.00899996 
9300 0.102995 
9400 0.160987 
9500 0.0309995 
9600 0.0409992 
9700 0.0759971 
9800 0.0979952 
9900 0.246969 
10000 0.124992 
10100 0.0539986 
10200 0.0919958 
10300 0.118993 
10400 0.0139999 
10500 0.00899996 
10600 0.0349994 
10700 0.0249997 
10800 0.217976 
10900 0.0429991 
11000 0.0479989 
11100 0.0199998 
11200 0.00599998 
11300 0.045999 
11400 0.00699998 
11500 0.0409992 
11600 0.0139999 
11700 0.0429991 
11800 0.0129999 
11900 0.00799997 
12000 0.0119999 
12100 0.0669978 
12200 0.045999 
12300 0.0149999 
12400 0.0249997 
12500 0.135991 
12600 0.0649979 
12700 0.0319995 
12800 0.00599998 
12900 0.0299996 
13000 0.001 
13100 0.0479989 
13200 0.0349994 
13300 0.128992 
13400 0.0409992 
13500 0.001 
13600 0.109994 
13700 0.00699998 
13800 0.0299996 
13900 0.0229997 
14000 0.045999 
14100 0.00499999 
14200 0.0979952 
14300 0.0319995 
14400 0.0599982 
14500 0.00699998 
14600 0.0159999 
14700 0.00999995 
14800 0.14199 
14900 0.0209998 
15000 0.0239997 
15100 0.001 
15200 0.00599998 
15300 0.308952 
15400 0.0509987 
15500 0.210978 
15600 0.0909959 
15700 0.133991 
15800 0.0149999 
15900 0.043999 
16000 0.0649979 
16100 0.00399999 
16200 0.0259997 
16300 0.122992 
16400 0.0259997 
16500 0.0199998 
16600 0.123992 
16700 0.0119999 
16800 0.0129999 
16900 0.0799968 
17000 0.0319995 
17100 0.208978 
17200 0.0539986 
17300 0.0399992 
17400 0.0719974 
17500 0.0269996 
17600 0.003 
17700 0.0789969 
17800 0.00999995 
17900 0.0609982 
18000 0.0539986 
18100 0.0569984 
18200 0.00799997 
18300 0.208978 
18400 0.0729974 
18500 0.0249997 
18600 0.109994 
18700 0.0769971 
18800 0.0119999 
18900 0.0109999 
19000 0.0509987 
19100 0.0129999 
19200 0.0839965 
19300 0.0879962 
19400 0.00699998 
19500 0.175985 
19600 0.0969953 
19700 0.0119999 
19800 0.0969953 
19900 0.0269996 
20000 0.00399999 
20100 0.0369993 
20200 0.0219998 
20300 0.111994 
20400 0.0419991 
20500 0.0719974 
20600 0.0299996 
20700 0.215977 
20800 0.117993 
20900 0.0399992 
21000 0.002 
21100 0.00499999 
21200 0.0539986 
21300 0.003 
21400 0.130991 
21500 0.0199998 
21600 0.063998 
21700 0.00599998 
21800 0.0349994 
21900 0.00399999 
22000 0.0809967 
22100 0.00899996 
22200 0.0339994 
22300 0.00799997 
22400 0.0549985 
22500 0.0529986 
22600 0.0139999 
22700 0.0499988 
22800 0.00799997 
22900 0.00899996 
23000 0.0179998 
23100 0.0109999 
23200 0.0189998 
23300 0.0789969 
23400 0.0509987 
23500 0.0289996 
23600 0.0399992 
23700 0.0229997 
23800 0.045999 
23900 0.0269996 
24000 0.0909959 
24100 0.0189998 
24200 0.0149999 
24300 0.00799997 
24400 0.0139999 
24500 0.0789969 
24600 0.0199998 
24700 0.0399992 
24800 0.00699998 
24900 0.0359994 
25000 0.0179998 
25100 0.0679977 
25200 0.00399999 
25300 0.0679977 
25400 0.00899996 
25500 0.0159999 
25600 0.0729974 
25700 0.0129999 
25800 0.0159999 
25900 0.0619981 
26000 0.0119999 
26100 0.002 
26200 0.0839965 
