# Avida resource data
# Mon Jun  4 16:56:46 2018
# First column gives the current update, all further columns give the quantity
# of the particular resource at that update.
#  1: Update
#  2: resNOT

0 9.94893 
100 634.434 
200 863.016 
300 946.685 
400 977.31 
500 988.52 
600 992.623 
700 994.125 
800 994.675 
900 994.876 
1000 993.281 
1100 954.266 
1200 436.111 
1300 0.0749972 
1400 0.169986 
1500 0.136991 
1600 0.13999 
1700 0.0949955 
1800 0.119993 
1900 0.195981 
2000 0.0469989 
2100 0.045999 
2200 0.669775 
2300 0.00599998 
2400 0.0909959 
2500 0.0159999 
2600 0.077997 
2700 0.0419991 
2800 0.115993 
2900 0.0179998 
3000 0.0209998 
3100 0.0249997 
3200 0.0319995 
3300 0.0479989 
3400 0.00499999 
3500 0.0219998 
3600 0.003 
3700 0.0409992 
3800 0.0979952 
3900 0.0149999 
4000 0.0589983 
4100 0.00999995 
4200 0.0269996 
4300 0.00799997 
4400 0.001 
4500 0.0209998 
4600 0.0189998 
4700 0.0349994 
4800 0.0529986 
4900 0.00499999 
5000 0.00499999 
5100 0.0279996 
5200 0.00599998 
5300 0.0149999 
5400 0.0319995 
5500 0.00699998 
5600 0.043999 
5700 0.113994 
5800 0.0599982 
5900 0.0339994 
6000 0.0239997 
6100 0.0419991 
6200 0.0429991 
6300 0.0589983 
6400 0.0299996 
6500 0.0699976 
6600 0.0239997 
6700 0.0189998 
6800 0.0179998 
6900 0.003 
7000 0.0539986 
7100 0.00899996 
7200 0.120993 
7300 0.001 
7400 0.0119999 
7500 0.00399999 
7600 0.0659978 
7700 0.0269996 
7800 0.00799997 
7900 0.0189998 
8000 0.0279996 
8100 0.003 
8200 0.00799997 
8300 0.00599998 
8400 0.099995 
8500 0.0569984 
8600 0.003 
8700 0.0409992 
8800 0.0419991 
8900 0.00599998 
9000 0.063998 
9100 0 
9200 0.0159999 
9300 0.0159999 
9400 0.0609982 
9500 0.003 
9600 0.001 
9700 0.00599998 
9800 0.00899996 
9900 0.00799997 
10000 0.0119999 
10100 0.00899996 
10200 0.002 
10300 0.0179998 
10400 0.045999 
10500 0.003 
10600 0.0349994 
10700 0.00899996 
10800 0.0519987 
10900 0.00799997 
11000 0.0219998 
11100 0.0399992 
11200 0.00499999 
11300 0.001 
11400 0 
11500 0.003 
11600 0.0369993 
11700 0.0299996 
11800 0 
11900 0.00899996 
12000 0.0469989 
12100 0.0279996 
12200 0.003 
12300 0.0299996 
12400 0.00399999 
12500 0.0659978 
12600 0.0349994 
12700 0.00799997 
12800 0.00899996 
12900 0.0169999 
13000 0.00399999 
13100 0.0169999 
13200 0.0239997 
13300 0.00899996 
13400 0.0109999 
13500 0.003 
13600 0.0559985 
13700 0.0209998 
13800 0.0179998 
13900 0.002 
14000 0.00399999 
14100 0.0159999 
14200 0.0119999 
14300 0.0119999 
14400 0.0179998 
14500 0.0569984 
14600 0.0649979 
14700 0.00599998 
14800 0.0679977 
14900 0.00599998 
15000 0.0179998 
15100 0.00499999 
15200 0.003 
15300 0.002 
15400 0.00499999 
15500 0.003 
15600 0 
15700 0.002 
15800 0.0349994 
15900 0.00599998 
16000 0.002 
16100 0.0349994 
16200 0.0139999 
16300 0.00499999 
16400 0.0279996 
16500 0.002 
16600 0.0299996 
16700 0.0579983 
16800 0.0399992 
16900 0.0909959 
17000 0.0199998 
17100 0.001 
17200 0.0199998 
17300 0.00899996 
17400 0 
17500 0.0239997 
17600 0.0309995 
17700 0.0249997 
