# Avida tasks data
# Mon Jun  4 16:56:46 2018
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Not

0 0 
100 0 
200 0 
300 0 
400 0 
500 0 
600 0 
700 0 
800 0 
900 0 
1000 0 
1100 8 
1200 97 
1300 385 
1400 453 
1500 457 
1600 462 
1700 529 
1800 592 
1900 729 
2000 806 
2100 879 
2200 808 
2300 922 
2400 1051 
2500 1043 
2600 1116 
2700 1180 
2800 1224 
2900 1366 
3000 1186 
3100 1371 
3200 1591 
3300 1848 
3400 2142 
3500 2380 
3600 2519 
3700 2619 
3800 2758 
3900 2816 
4000 2712 
4100 2684 
4200 2783 
4300 2777 
4400 2794 
4500 2860 
4600 2881 
4700 2934 
4800 2800 
4900 2751 
5000 2747 
5100 2570 
5200 2398 
5300 2069 
5400 1787 
5500 1687 
5600 1503 
5700 1589 
5800 1477 
5900 1622 
6000 1826 
6100 1991 
6200 2168 
6300 2159 
6400 2186 
6500 2253 
6600 2419 
6700 2368 
6800 2510 
6900 2517 
7000 2554 
7100 2698 
7200 2683 
7300 2558 
7400 2659 
7500 2586 
7600 2717 
7700 2692 
7800 2926 
7900 2952 
8000 3158 
8100 3286 
8200 3308 
8300 3277 
8400 3353 
8500 3445 
8600 3418 
8700 3384 
8800 3439 
8900 3479 
9000 3503 
9100 3525 
9200 3528 
9300 3554 
9400 3518 
9500 3488 
9600 3465 
9700 3504 
9800 3498 
9900 3544 
10000 3571 
10100 3575 
10200 3551 
10300 3533 
10400 3532 
10500 3536 
10600 3481 
10700 3468 
10800 3387 
10900 3458 
11000 3516 
11100 3521 
11200 3490 
11300 3502 
11400 3464 
11500 3363 
11600 3300 
11700 3274 
11800 3335 
11900 3343 
12000 3383 
12100 3428 
12200 3437 
12300 3450 
12400 3459 
12500 3425 
12600 3433 
12700 3359 
12800 3367 
12900 3374 
13000 3299 
13100 3308 
13200 3219 
13300 3228 
13400 3242 
13500 3238 
13600 3223 
13700 3278 
13800 3212 
13900 3259 
14000 3326 
14100 3401 
14200 3340 
14300 3262 
14400 3238 
14500 3301 
14600 3325 
14700 3423 
14800 3438 
14900 3361 
15000 3381 
15100 3408 
15200 3442 
15300 3451 
15400 3433 
15500 3440 
15600 3477 
15700 3482 
15800 3466 
15900 3479 
16000 3490 
16100 3452 
16200 3463 
16300 3457 
16400 3487 
16500 3463 
16600 3460 
16700 3422 
16800 3461 
16900 3461 
17000 3405 
17100 3471 
17200 3439 
17300 3407 
17400 3401 
17500 3394 
17600 3477 
17700 3494 
17800 3523 
17900 3542 
18000 3549 
18100 3532 
18200 3495 
18300 3491 
18400 3458 
18500 3440 
18600 3424 
18700 3431 
18800 3468 
18900 3440 
19000 3421 
19100 3401 
19200 3433 
19300 3515 
19400 3453 
19500 3439 
19600 3463 
19700 3396 
19800 3437 
19900 3459 
20000 3465 
20100 3491 
20200 3443 
20300 3474 
20400 3458 
20500 3490 
20600 3463 
20700 3470 
20800 3397 
20900 3344 
21000 3390 
21100 3465 
21200 3447 
21300 3427 
21400 3449 
21500 3464 
21600 3496 
21700 3474 
21800 3469 
21900 3518 
22000 3513 
22100 3478 
22200 3466 
22300 3471 
22400 3454 
22500 3453 
22600 3468 
22700 3512 
22800 3515 
22900 3493 
23000 3471 
23100 3474 
23200 3452 
23300 3476 
23400 3474 
23500 3459 
23600 3434 
23700 3441 
23800 3385 
23900 3399 
24000 3409 
24100 3416 
24200 3405 
24300 3405 
24400 3394 
24500 3482 
24600 3461 
24700 3447 
24800 3435 
24900 3460 
25000 3478 
25100 3523 
25200 3549 
25300 3530 
25400 3549 
25500 3517 
25600 3524 
25700 3552 
25800 3526 
25900 3534 
26000 3491 
26100 3461 
26200 3529 
26300 3487 
26400 3482 
26500 3424 
26600 3454 
26700 3497 
26800 3472 
26900 3461 
27000 3450 
27100 3467 
27200 3445 
27300 3428 
27400 3356 
27500 3350 
27600 3375 
27700 3497 
27800 3419 
27900 3485 
28000 3486 
28100 3469 
28200 3453 
28300 3394 
28400 3407 
28500 3412 
28600 3436 
28700 3449 
28800 3470 
28900 3476 
29000 3438 
29100 3476 
29200 3415 
29300 3411 
29400 3453 
29500 3420 
29600 3446 
29700 3415 
29800 3439 
29900 3414 
30000 3450 
30100 3474 
30200 3400 
30300 3399 
30400 3486 
30500 3354 
30600 3337 
30700 3323 
30800 3362 
30900 3359 
31000 3368 
31100 3314 
31200 3339 
31300 3389 
31400 3420 
31500 3404 
31600 3404 
31700 3380 
31800 3397 
31900 3364 
32000 3328 
32100 3366 
32200 3309 
32300 3298 
32400 3339 
32500 3364 
32600 3374 
32700 3290 
32800 3303 
32900 3268 
33000 3219 
33100 3220 
33200 3340 
33300 3289 
33400 3400 
33500 3393 
33600 3291 
33700 3305 
33800 3360 
33900 3343 
34000 3385 
34100 3379 
34200 3377 
34300 3345 
34400 3308 
34500 3318 
34600 3325 
34700 3364 
34800 3386 
34900 3442 
35000 3454 
35100 3496 
35200 3450 
35300 3479 
35400 3451 
35500 3481 
35600 3494 
35700 3461 
35800 3444 
35900 3496 
36000 3517 
36100 3515 
36200 3494 
36300 3519 
36400 3530 
36500 3547 
36600 3522 
36700 3541 
36800 3434 
36900 3430 
37000 3437 
37100 3376 
37200 3404 
37300 3387 
37400 3264 
37500 3259 
37600 3251 
37700 3173 
37800 3175 
37900 3178 
38000 3183 
38100 3207 
38200 3227 
38300 3211 
38400 3171 
38500 3329 
38600 3347 
38700 3391 
38800 3398 
38900 3441 
39000 3490 
39100 3532 
39200 3525 
39300 3547 
39400 3505 
39500 3447 
39600 3417 
39700 3402 
39800 3395 
39900 3372 
40000 3300 
40100 3376 
40200 3369 
40300 3392 
40400 3403 
40500 3416 
40600 3440 
40700 3417 
40800 3416 
40900 3447 
41000 3406 
41100 3398 
41200 3451 
41300 3481 
41400 3478 
41500 3413 
41600 3372 
41700 3432 
41800 3448 
41900 3434 
42000 3446 
42100 3434 
42200 3486 
42300 3484 
42400 3486 
42500 3485 
42600 3466 
42700 3454 
42800 3476 
42900 3488 
43000 3508 
43100 3546 
43200 3486 
43300 3429 
43400 3419 
43500 3368 
43600 3327 
43700 3375 
43800 3370 
43900 3380 
44000 3407 
44100 3389 
44200 3464 
44300 3465 
44400 3483 
44500 3432 
44600 3367 
44700 3352 
44800 3324 
44900 3386 
45000 3446 
45100 3417 
45200 3417 
45300 3456 
45400 3505 
45500 3493 
45600 3496 
45700 3493 
45800 3515 
45900 3507 
46000 3508 
46100 3494 
46200 3524 
46300 3502 
46400 3501 
46500 3428 
46600 3448 
46700 3422 
46800 3438 
46900 3411 
47000 3423 
47100 3475 
47200 3481 
47300 3477 
47400 3460 
47500 3452 
47600 3395 
47700 3357 
47800 3281 
47900 3339 
48000 3306 
48100 3437 
48200 3464 
48300 3530 
48400 3497 
48500 3470 
48600 3395 
48700 3406 
48800 3430 
48900 3387 
49000 3352 
49100 3391 
49200 3451 
49300 3473 
49400 3471 
49500 3397 
49600 3455 
49700 3458 
49800 3483 
49900 3493 
50000 3523 
