#  1: Update
#  2: nop-A
#  3: nop-B
#  4: nop-C
#  5: if-n-equ
#  6: if-less
#  7: if-label
#  8: mov-head
#  9: jmp-head
# 10: get-head
# 11: set-flow
# 12: shift-r
# 13: shift-l
# 14: inc
# 15: dec
# 16: push
# 17: pop
# 18: swap-stk
# 19: swap
# 20: add
# 21: sub
# 22: nand
# 23: h-copy
# 24: h-alloc
# 25: h-divide
# 26: IO
# 27: h-search

0 203 1 47 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 41 2 
100 15254 124 6879 21 37 104 297 7 19 4 4 25 5 26 6 52 10 16 1 21 39 142 201 108 6218 295 
200 90162 814 32127 217 292 716 1564 40 184 93 171 241 191 235 147 458 149 277 168 278 372 913 1301 711 28477 1821 
300 218659 2026 74842 840 838 1959 3749 149 652 461 623 774 734 605 636 1221 660 948 520 1122 1168 2413 3476 1884 65639 4665 
400 404179 4027 133614 2028 1906 3674 7115 336 1784 1259 1336 1444 1569 1381 1724 2349 1796 2197 1148 2613 2372 4719 6949 4055 117107 8738 
500 574620 6047 182455 3192 3023 5469 10078 485 2869 2500 2225 2368 2281 2305 2595 3500 3120 3522 1922 4249 3445 6775 9963 5984 161359 12530 
600 596969 6797 185840 3680 3373 6090 10485 489 3306 2783 2569 2789 2612 2773 3205 3789 3793 4215 2442 4804 4022 7232 11578 6594 165639 13669 
700 602766 7339 181583 3821 3662 6202 10477 508 3447 3099 2724 2809 2646 3110 3554 3813 4331 4478 2693 4770 4120 7437 11408 6733 163488 13472 
800 597300 7924 178962 4189 4091 6566 10611 472 3657 3368 3175 3005 2850 3224 4063 3953 4688 4721 2882 5156 4577 8062 11637 6884 163539 13597 
900 598495 8463 173355 4360 4464 7074 10558 412 3842 4042 3221 3024 2861 3070 4221 4112 5078 4792 3225 5577 4720 8019 12358 7335 160606 13984 
1000 600199 8903 168537 4620 4645 7464 10509 408 4183 4280 3477 3327 3187 3136 4135 4437 5547 5106 3387 5677 5114 8271 12807 7775 156752 13811 
