#  1: Update
#  2: nop-A
#  3: nop-B
#  4: nop-C
#  5: if-n-equ
#  6: if-less
#  7: if-label
#  8: mov-head
#  9: jmp-head
# 10: get-head
# 11: set-flow
# 12: shift-r
# 13: shift-l
# 14: inc
# 15: dec
# 16: push
# 17: pop
# 18: swap-stk
# 19: swap
# 20: add
# 21: sub
# 22: nand
# 23: h-copy
# 24: h-alloc
# 25: h-divide
# 26: IO
# 27: h-search

0 203 1 47 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 41 2 
100 50296 304 18430 3 3 308 798 0 0 3 3 1 1 0 16 0 1 2 0 0 82 311 514 305 16337 819 
200 609595 3731 222555 41 59 3756 9718 30 35 98 38 57 30 28 211 39 22 37 25 32 1321 3749 6326 3715 197617 9980 
300 603264 3806 224381 74 73 3814 9786 12 69 131 103 120 76 62 182 98 72 68 85 56 1505 3831 6529 3768 199132 10239 
400 609440 3867 220725 140 60 3877 9742 12 210 142 111 117 125 138 153 144 78 82 119 110 1877 3853 6508 3792 196070 10186 
500 609145 3795 221127 154 115 3929 9728 9 259 109 105 122 184 94 207 193 117 139 124 127 2107 3890 6534 3834 196592 10302 
600 606499 3802 219993 135 239 3958 9766 20 384 191 103 137 196 73 151 268 249 98 166 144 2353 3899 6503 3803 195755 10312 
700 602573 3808 221365 124 294 4007 9876 24 522 230 122 254 300 83 104 386 353 127 232 161 2942 3953 6444 3802 197321 10219 
800 604480 3813 219776 209 310 4034 9839 6 576 274 173 297 257 142 196 330 380 105 295 219 3639 4040 6501 3830 196202 10275 
900 608173 3803 215773 227 396 4080 9685 13 443 213 156 279 269 187 141 369 429 85 350 220 4383 4062 6611 3834 193281 10445 
1000 605322 3824 214632 150 384 3988 9705 7 474 271 215 196 318 162 112 394 489 130 325 303 5417 4143 6656 3824 192812 10397 
