# Avida instruction execution data
# Mon Jun  4 12:26:05 2018
#  1: Update
#  2: nop-A
#  3: nop-B
#  4: nop-C
#  5: if-n-equ
#  6: if-less
#  7: if-label
#  8: mov-head
#  9: jmp-head
# 10: get-head
# 11: set-flow
# 12: shift-r
# 13: shift-l
# 14: inc
# 15: dec
# 16: push
# 17: pop
# 18: swap-stk
# 19: swap
# 20: add
# 21: sub
# 22: nand
# 23: h-copy
# 24: h-alloc
# 25: h-divide
# 26: IO
# 27: h-search

0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
100 0 18 251 10 23 9982 9982 4 11 0 0 7 0 17 3 28 6 6 0 12 37 10013 101 101 4060 204 
200 689 174 1562 144 195 53895 54144 9 325 56 99 156 145 186 98 300 92 222 121 232 310 54376 551 551 21116 1169 
300 1432 416 4405 619 611 129998 129853 21 447 307 465 530 487 412 446 815 494 625 387 778 1038 130510 1307 1307 48681 2937 
400 4185 736 9108 1431 1408 239992 240348 171 1240 969 953 1011 1152 1074 1239 1928 1354 1622 899 1907 1948 241603 2435 2435 87720 5695 
500 5503 1299 14194 2382 2165 338287 338731 255 2215 1823 1863 1708 2225 1640 2038 3128 2428 2631 1470 3123 2755 340661 3446 3446 120289 8098 
600 3819 1552 15507 2645 2437 353807 354072 215 2392 2049 1981 2000 2396 1930 2497 2812 2871 3175 1825 3539 3059 356099 3597 3597 123725 8556 
700 4414 1503 16612 2765 2782 354492 354209 241 2624 2276 2047 2275 2161 2474 2584 3018 3590 3538 2426 3536 3318 356466 3598 3598 125095 8766 
800 4932 1648 16035 3018 2914 354096 353686 184 2695 2496 2245 2310 2615 2264 3362 3041 3425 4274 2206 3708 3711 356326 3596 3596 123956 8866 
900 4573 1753 16753 3349 3269 351956 351669 677 2877 3149 2349 2385 2471 2059 3230 3264 3876 3903 3071 4217 4188 354589 3597 3597 123224 8972 
1000 4711 1665 17166 3482 3260 352465 351382 601 3180 3217 2597 2539 2438 2199 3098 3249 4038 4212 3023 4327 3933 354955 3595 3595 120310 8884 
