#  1: Update
#  2: nop-A
#  3: nop-B
#  4: nop-C
#  5: if-n-equ
#  6: if-less
#  7: if-label
#  8: mov-head
#  9: jmp-head
# 10: get-head
# 11: set-flow
# 12: shift-r
# 13: shift-l
# 14: inc
# 15: dec
# 16: push
# 17: pop
# 18: swap-stk
# 19: swap
# 20: add
# 21: sub
# 22: nand
# 23: h-copy
# 24: h-alloc
# 25: h-divide
# 26: IO
# 27: h-search

0 203 1 47 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 41 2 
100 27659 171 11298 0 1 171 507 1 0 0 20 2 0 1 0 57 16 0 0 0 2 170 337 174 9952 509 
200 644570 3663 202269 62 75 3810 9445 19 44 30 328 77 49 76 37 1344 223 51 39 47 96 3806 6330 3779 175949 10000 
300 603936 3721 219998 134 69 3826 9575 20 90 106 351 122 141 110 92 1460 194 76 102 97 76 3863 6409 3913 193267 10078 
400 583549 3800 230859 188 126 3925 9981 12 125 155 395 125 161 196 233 1433 239 147 192 139 192 3890 6872 4014 203709 10421 
500 599952 3837 221804 232 148 3946 9875 14 201 162 519 144 140 153 333 1458 312 144 165 152 297 3893 6751 4052 194832 10277 
600 599982 3878 221325 344 178 4023 9963 14 274 190 520 139 261 196 409 1263 386 227 317 203 387 3896 6658 4059 193396 10467 
700 606468 3867 217149 375 239 3968 9840 16 289 189 576 259 289 268 400 1263 410 206 255 316 456 3925 6525 4077 189385 10337 
800 597510 3826 221065 451 286 4027 10004 31 220 200 703 218 341 235 422 1327 466 243 281 472 525 4014 6910 4135 193148 10756 
900 593139 3815 221126 555 233 3960 10101 9 239 272 641 336 304 270 435 1254 460 278 307 484 691 4102 7097 4125 192295 10842 
1000 597345 3815 218106 620 279 3923 10135 13 321 274 685 302 297 225 505 1265 440 234 237 490 871 4153 6950 4166 189112 10673 
1100 596732 3774 216567 626 334 3930 10039 6 351 311 705 316 325 216 540 1092 355 241 396 472 1034 4212 7049 4116 188087 10672 
1200 595639 3750 216486 676 361 4017 10139 14 400 199 668 402 292 126 654 1122 273 252 342 472 1143 4303 7169 4097 187588 10774 
1300 595538 3799 215079 637 346 4107 10020 19 397 341 597 421 332 164 512 1193 280 276 591 565 1340 4488 7177 4146 187246 10650 
1400 596367 3817 213132 584 473 4125 10040 25 394 397 536 497 392 208 552 1010 331 324 591 520 1501 4649 7262 4129 186074 10638 
1500 591742 3848 213056 564 584 4156 10073 19 487 292 432 460 401 277 529 1005 350 279 605 528 1422 4784 7415 4124 185659 10741 
1600 578726 3898 216772 585 592 4182 10293 19 410 324 442 459 353 270 521 980 425 267 605 525 1653 4949 7401 4194 189650 10837 
1700 590838 3918 210213 602 564 4318 9995 66 391 429 346 604 227 215 479 948 544 282 612 486 1794 4819 7294 4178 183880 10631 
1800 584573 4023 212024 577 535 4475 10176 70 400 449 349 687 222 248 512 852 563 244 634 519 2171 4995 7487 4149 186320 11021 
1900 595379 4036 205057 558 581 4449 10168 71 521 502 317 732 230 224 572 772 531 248 609 462 2136 5096 7204 4212 181073 10685 
2000 586865 4071 207547 540 604 4465 10274 59 405 599 331 701 240 286 535 786 479 230 689 428 2499 5309 7725 4384 184031 10845 
2100 591736 4107 204377 531 457 4335 10234 47 313 935 396 741 273 320 618 736 592 287 709 465 2787 5801 7655 4476 181973 10557 
2200 580727 4197 208724 578 340 4330 10264 49 331 1510 350 1248 261 335 526 512 1164 224 659 526 3206 6373 7353 4562 186658 10563 
2300 590661 4373 214813 576 228 4225 10151 46 295 2700 554 2273 199 333 271 272 2478 229 417 444 4005 7201 7111 4461 191653 10454 
2400 601212 4432 222647 644 114 4049 10046 24 260 4065 817 3486 124 160 168 136 4037 202 235 362 4785 7850 6619 4263 197014 10351 
2500 604566 4465 225351 468 131 4122 10058 16 137 4492 796 3894 172 115 134 38 4672 256 144 292 5002 8256 6621 4190 198321 10517 
2600 605950 4362 226110 545 124 4028 9958 14 134 4911 820 4044 123 84 107 70 5012 281 152 339 5382 8484 6500 4074 199239 10376 
2700 613843 4413 223375 591 126 4060 9843 12 130 4744 908 4132 98 71 113 71 4890 282 209 276 5277 8924 6454 4008 196511 10284 
2800 612780 4319 223851 574 128 4011 9896 13 144 4919 1013 4190 118 119 102 67 5048 435 239 250 5440 9519 6648 4007 196678 10473 
2900 607770 4278 226619 452 157 4102 10016 18 148 5042 919 4465 130 147 114 172 5235 591 288 239 5619 10734 6583 4044 199216 10461 
3000 617273 4173 223113 313 139 4158 9893 19 283 5058 756 4816 92 81 81 162 5210 723 460 125 5644 12533 6717 4024 196338 10649 
3100 620326 4121 224056 319 95 4134 9911 22 263 5190 447 5239 61 102 74 131 5266 950 519 61 5868 14675 6669 4065 197156 10541 
