# Avida tasks data
# Thu Jun  7 12:34:18 2018
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Not

0 0 
100 0 
200 0 
300 0 
400 3501 
500 3570 
600 3594 
700 3597 
800 3599 
900 3600 
1000 3598 
1100 3600 
1200 3600 
1300 3600 
1400 3600 
1500 3600 
1600 3600 
1700 3600 
1800 3600 
1900 3600 
2000 3600 
2100 3600 
2200 3600 
2300 3600 
2400 3600 
2500 3600 
2600 3600 
2700 3600 
2800 3600 
2900 3600 
3000 3600 
3100 3600 
3200 3600 
3300 3600 
3400 3600 
3500 3600 
3600 3600 
3700 3600 
3800 3600 
3900 3600 
4000 3600 
4100 3600 
4200 3600 
4300 3600 
4400 3600 
4500 3600 
4600 3600 
4700 3600 
4800 3600 
4900 3600 
5000 3600 
5100 3600 
5200 3600 
5300 3600 
5400 3600 
5500 3600 
5600 3600 
5700 3600 
5800 3600 
5900 3600 
6000 3600 
6100 3600 
6200 3600 
6300 3600 
6400 3600 
6500 3600 
6600 3600 
6700 3600 
6800 3600 
6900 3600 
7000 3600 
7100 3600 
7200 3600 
7300 3600 
7400 3600 
7500 3600 
7600 3600 
7700 3600 
7800 3600 
7900 3600 
8000 3599 
8100 3600 
8200 3600 
8300 3600 
8400 3600 
8500 3600 
8600 3600 
8700 3600 
8800 3600 
8900 3600 
9000 3600 
9100 3600 
9200 3600 
9300 3600 
9400 3600 
9500 3600 
9600 3600 
9700 3600 
9800 3600 
9900 3600 
10000 3600 
10100 3600 
10200 3600 
10300 3600 
10400 3600 
10500 3600 
10600 3600 
10700 3600 
