# Avida tasks execution data
# Thu Jun  7 12:34:18 2018
# First column gives the current update, all further columns give the number
# of times the particular task has been executed this update.
#  1: Update
#  2: Not

100 0 
200 0 
300 0 
400 3512 
500 4732 
600 6829 
700 7036 
800 7035 
900 7537 
1000 9348 
1100 10390 
1200 11098 
1300 12192 
1400 13147 
1500 13685 
1600 13906 
1700 14020 
1800 14184 
1900 14231 
2000 14310 
2100 14474 
2200 15424 
2300 16843 
2400 17487 
2500 17705 
2600 17735 
2700 17760 
2800 17832 
2900 17783 
3000 17735 
3100 17746 
3200 17736 
3300 17763 
3400 17809 
3500 17815 
3600 17769 
3700 17756 
3800 17790 
3900 17818 
4000 17891 
4100 18087 
4200 18655 
4300 19537 
4400 20153 
4500 20414 
4600 20844 
4700 21014 
4800 21151 
4900 21302 
5000 21340 
5100 21354 
5200 21318 
5300 21399 
5400 21344 
5500 21332 
5600 21360 
5700 21380 
5800 21353 
5900 21353 
6000 21364 
6100 21413 
6200 21345 
6300 21353 
6400 21308 
6500 21346 
6600 21365 
6700 21316 
6800 21312 
6900 21358 
7000 21339 
7100 21355 
7200 21445 
7300 21315 
7400 21330 
7500 21357 
7600 21343 
7700 21410 
7800 21355 
7900 21378 
8000 21332 
8100 21311 
8200 21380 
8300 21366 
8400 21409 
8500 21365 
8600 21365 
8700 21402 
8800 21349 
8900 21349 
9000 21358 
9100 21292 
9200 21334 
9300 21367 
9400 21364 
9500 21338 
9600 21343 
9700 21308 
9800 21328 
9900 21381 
10000 21339 
10100 21388 
10200 21316 
10300 21373 
10400 21368 
10500 21407 
10600 21353 
10700 21288 
