#  1: Update
#  2: nop-A
#  3: nop-B
#  4: nop-C
#  5: if-n-equ
#  6: if-less
#  7: if-label
#  8: mov-head
#  9: jmp-head
# 10: get-head
# 11: set-flow
# 12: shift-r
# 13: shift-l
# 14: inc
# 15: dec
# 16: push
# 17: pop
# 18: swap-stk
# 19: swap
# 20: add
# 21: sub
# 22: nand
# 23: h-copy
# 24: h-alloc
# 25: h-divide
# 26: IO
# 27: h-search

0 203 1 47 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 41 2 
100 28293 194 14213 1 1 192 575 0 0 3 4 1 2 0 16 0 0 3 0 0 1 194 383 192 12764 575 
200 653847 3722 202931 50 75 3700 9673 13 49 74 111 36 69 41 398 44 43 59 66 76 58 3725 6541 3659 177012 10124 
300 619562 3777 216170 108 104 3895 9406 14 104 183 209 67 72 83 412 83 111 80 187 154 125 3946 6170 3829 190052 9986 
400 594016 3805 228720 133 189 3946 9796 21 213 216 196 123 68 150 600 123 168 130 217 223 201 4048 6786 3897 202286 10427 
500 601037 3891 225800 218 200 3974 9905 12 234 223 277 148 90 155 613 247 183 140 183 301 261 4463 6880 3865 199524 10545 
600 594734 3911 229132 195 195 4044 9876 13 159 142 173 206 105 104 424 184 176 216 111 564 289 5840 6616 3960 201971 10426 
700 591087 3947 232750 180 135 4074 10019 43 65 90 75 148 80 127 277 49 165 216 67 830 301 7453 6522 3995 204631 10464 
800 602905 3865 228801 140 88 4031 9949 14 44 52 74 106 28 81 120 87 131 188 108 884 295 7956 6417 3984 200488 10377 
900 592394 3950 233609 231 26 4080 10080 17 78 62 105 181 44 108 77 95 142 222 109 1044 351 8210 6613 4040 204787 10669 
1000 585487 4040 235917 243 74 4115 10136 19 126 85 152 289 62 106 122 112 138 263 108 1121 316 8315 6738 4142 206702 10783 
