# Avida instruction execution data
# Tue Jun  5 10:17:22 2018
#  1: Update
#  2: nop-A
#  3: nop-B
#  4: nop-C
#  5: if-n-equ
#  6: if-less
#  7: if-label
#  8: mov-head
#  9: jmp-head
# 10: get-head
# 11: set-flow
# 12: shift-r
# 13: shift-l
# 14: inc
# 15: dec
# 16: push
# 17: pop
# 18: swap-stk
# 19: swap
# 20: add
# 21: sub
# 22: nand
# 23: h-copy
# 24: h-alloc
# 25: h-divide
# 26: IO
# 27: h-search

0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
100 2817 140 12746 343 304 353809 355063 54 543 314 415 450 594 399 618 391 408 322 623 410 387 355298 3600 3600 144116 7505 
200 2630 355 13832 598 698 354571 355543 206 645 606 541 599 781 714 603 752 1385 655 1438 548 835 355846 3600 3600 140479 7754 
300 2414 477 14279 1164 1026 355011 355536 383 837 973 903 1159 843 950 1064 873 1001 1064 931 811 1195 356215 3600 3600 137591 8038 
400 3013 654 15355 1369 1159 355400 355522 154 1357 1078 1377 1204 1329 1093 1241 1289 1259 1370 1183 1133 1480 356345 3600 3600 135090 8139 
500 5612 587 16394 1478 1576 353368 354415 142 1844 1485 1209 1638 1503 1601 1496 1500 1550 1490 1336 1422 2111 355258 3600 3600 133591 8337 
600 3856 707 15510 1843 1796 353866 354044 189 1579 1706 1270 1579 1471 1587 1773 1579 2035 1731 1368 1544 2467 355216 3600 3600 132639 8272 
700 4224 956 16605 1982 2017 353561 353740 100 2031 1903 1468 2220 1640 1500 1822 1554 2202 2001 1793 1616 2900 354996 3600 3600 133554 8448 
800 2819 1104 14926 2428 1757 354503 354284 150 2084 2125 1648 1815 1583 1611 2157 1534 2170 2071 1847 1488 2849 355608 3600 3600 130877 8190 
900 4098 1153 14873 2771 1593 353172 352665 139 2152 2502 1518 2212 1495 1550 2375 1873 2435 2377 1994 1648 3256 355341 3600 3600 129148 8354 
1000 3500 1288 14554 2677 1575 349913 349330 243 2428 2756 1733 2184 1525 2044 2524 1701 2491 2965 2253 1710 3810 354842 3600 3600 128891 8308 
