#  1: Update
#  2: nop-A
#  3: nop-B
#  4: nop-C
#  5: if-n-equ
#  6: if-less
#  7: if-label
#  8: mov-head
#  9: jmp-head
# 10: get-head
# 11: set-flow
# 12: shift-r
# 13: shift-l
# 14: inc
# 15: dec
# 16: push
# 17: pop
# 18: swap-stk
# 19: swap
# 20: add
# 21: sub
# 22: nand
# 23: h-copy
# 24: h-alloc
# 25: h-divide
# 26: IO
# 27: h-search

0 730080 3600 169519 0 0 3600 7279 2 1 0 0 1 0 0 0 0 2 0 1 0 0 3600 3679 3600 147757 7279 
100 511956 4361 256535 614 564 4754 10607 259 604 644 600 642 581 628 638 591 706 656 691 653 600 4544 8566 4718 228231 12755 
200 566515 4715 226749 996 1107 4812 10448 231 962 998 880 946 979 998 966 914 1064 1049 976 1018 1128 4612 9003 4789 200097 12631 
300 585079 5135 214136 1432 1393 5070 10316 233 1223 1487 1285 1354 1295 1252 1418 1236 1464 1304 1097 1079 1598 5021 8702 5135 188591 12575 
400 602204 5434 201955 1778 1531 5237 10256 273 1732 1563 1408 1708 1637 1543 1768 1512 1736 1513 1370 1379 1827 5423 9203 5410 178241 12220 
500 601536 5641 199064 2069 1963 5429 10291 275 1962 2066 1645 1781 1847 1817 2083 1714 2094 1861 1793 1881 2367 5606 9367 5616 177597 12522 
600 604561 5733 193313 2407 2258 6022 10428 290 2156 2318 1772 2002 1942 2076 2235 2097 2512 2084 1902 2036 2999 5562 9739 5918 174125 12277 
700 602352 5948 190218 2716 2532 6283 10403 270 2556 2548 1954 2107 1777 2063 2514 2084 2779 2772 2093 2001 3830 6004 11250 6034 172140 12982 
800 599752 6061 190038 3057 2184 6519 10539 235 2732 2900 2220 2185 2030 2205 2673 2088 2925 2836 2380 2106 3869 6264 11672 6544 175693 12388 
900 609850 6141 181142 3551 2170 6541 10430 312 2983 3249 2077 2324 1929 2167 2818 2126 3310 3042 2536 2069 4230 6219 12677 6621 169222 13084 
1000 600804 6266 180845 3772 2119 6815 10588 305 3458 3463 2307 2649 1941 2419 3025 2044 3374 3407 2910 1984 4740 6745 12347 6730 171865 12371 
